Name	type	year	FIG_NAME
CG_4B_022848_USA_2024	CG	2024	PQ800221.1/USA/2024
CG_4A_045469_USA_2023	CG	2023	PV224547.1/USA/2023
CG_4B_086794_USA_2024	CG	2024	PV224552.1/USA/2024
CG_4A_091078_USA_2023	CG	2023	PV224548.1/USA/2023
CG_4A_123347_USA_2023	CG	2023	PV224543.1/USA/2023
CG_4A_155853_USA_2023	CG	2023	PV224542.1/USA/2023
CG_4A_374792_USA_2024	CG	2024	PV224546.1/USA/2024
CG_4A_390437_USA_2024	CG	2024	PV224544.1/USA/2024
CG_4A_391036_USA_2023	CG	2023	PV224545.1/USA/2023
CG_4A_98ATT1_USA_2022	CG	2022	PV224550.1/USA/2022
CG_4B_A3K6S3_USA_2022	CG	2022	PV224553.1/USA/2022
CG_4B_AN34CD_USA_2022	CG	2022	PV224555.1/USA/2022
CG_4A_KF483663.1_Denmark_2002_GB	CG	2002	KF483663.1/Denmark/2002
CG_4A_KF878965.2_Australia_2008_GB	CG	2008	KF878965.2/Australia/2008
CG_4B_KF908238.1_Australia_2008_GB	CG	2008	KF908238.1/Australia/2008
HN_KX912822.1_Malaysia_2012-04-04	HN	2012	KX912822.1/Malaysia/2012
HN_KX912823.1_Malaysia_2012-04-13	HN	2012	KX912823.1/Malaysia/2012
HN_KX912824.1_Malaysia_2012-05-02	HN	2012	KX912824.1/Malaysia/2012
HN_KX912825.1_Malaysia_2012-05-07	HN	2012	KX912825.1/Malaysia/2012
HN_KX912826.1_Malaysia_2012-05-21	HN	2012	KX912826.1/Malaysia/2012
HN_KX912827.1_Malaysia_2012-05-28	HN	2012	KX912827.1/Malaysia/2012
HN_KX912828.1_Malaysia_2012-06-01	HN	2012	KX912828.1/Malaysia/2012
HN_KX912829.1_Malaysia_2012-06-06	HN	2012	KX912829.1/Malaysia/2012
HN_KX912830.1_Malaysia_2012-06-11	HN	2012	KX912830.1/Malaysia/2012
HN_KX912831.1_Malaysia_2012-06-11	HN	2012	KX912831.1/Malaysia/2012
HN_KX912832.1_Malaysia_2012-06-27	HN	2012	KX912832.1/Malaysia/2012
HN_KX912833.1_Malaysia_2012-07-04	HN	2012	KX912833.1/Malaysia/2012
HN_KX912834.1_Malaysia_2012-07-16	HN	2012	KX912834.1/Malaysia/2012
HN_KX912835.1_Malaysia_2012-07-25	HN	2012	KX912835.1/Malaysia/2012
HN_KX912836.1_Malaysia_2012-08-22	HN	2012	KX912836.1/Malaysia/2012
HN_KX912837.1_Malaysia_2012-08-24	HN	2012	KX912837.1/Malaysia/2012
HN_KX912838.1_Malaysia_2012-08-29	HN	2012	KX912838.1/Malaysia/2012
HN_KX912839.1_Malaysia_2012-09-05	HN	2012	KX912839.1/Malaysia/2012
HN_KX912840.1_Malaysia_2012-09-10	HN	2012	KX912840.1/Malaysia/2012
HN_KX912841.1_Malaysia_2012-09-14	HN	2012	KX912841.1/Malaysia/2012
HN_KX912842.1_Malaysia_2012-09-19	HN	2012	KX912842.1/Malaysia/2012
HN_KX912843.1_Malaysia_2012-09-19	HN	2012	KX912843.1/Malaysia/2012
HN_KX912844.1_Malaysia_2012-10-05	HN	2012	KX912844.1/Malaysia/2012
HN_KX912845.1_Malaysia_2012-10-08	HN	2012	KX912845.1/Malaysia/2012
HN_KX912846.1_Malaysia_2012-10-10	HN	2012	KX912846.1/Malaysia/2012
HN_KX912847.1_Malaysia_2012-10-15	HN	2012	KX912847.1/Malaysia/2012
HN_KX912848.1_Malaysia_2012-10-15	HN	2012	KX912848.1/Malaysia/2012
HN_KX912849.1_Malaysia_2012-10-22	HN	2012	KX912849.1/Malaysia/2012
HN_KX912850.1_Malaysia_2012-11-19	HN	2012	KX912850.1/Malaysia/2012
HN_KX912851.1_Malaysia_2012-11-21	HN	2012	KX912851.1/Malaysia/2012
HN_KX912852.1_Malaysia_2013-03-27	HN	2013	KX912852.1/Malaysia/2013
HN_KX912853.1_Malaysia_2013-04-01	HN	2013	KX912853.1/Malaysia/2013
HN_KX912854.1_Malaysia_2013-05-13	HN	2013	KX912854.1/Malaysia/2013
